Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Strength training duration (ms)
2024-01-30,4,1356.9995446205141,409.1259811190957,,,,,,,0.2993008526144219,0.5462354636401243,0.25116874693532476,991,,,,,,,,,
2024-01-31,9,1372.3690560796288,347.33482298968,,,,,,,0.3136678360219579,0.6652376370916625,0.26047129311811457,922,,,,,,315708,,,
2024-02-01,54,1416.4985720430857,2455.36460514666,11.0,11,,,,,0.3969272233043718,1.3141797472737924,0.25116874693532476,4806,59.49994277954101,59.49995422363281,59.49993133544922,,,1396472,,,
2024-02-02,68,1439.9403907888234,2871.98132362543,15.0,15,,,,,0.4101514884588222,1.4294926813068294,0.26033233092715996,5439,,,,,,2071810,,,
2024-02-03,14,1344.7690959078577,588.5626569435022,,,,,,,0.3157111546572859,0.8792198834927388,0.25116874693532476,1543,,,,,,58587,,,
2024-02-04,54,1436.319031950151,3119.593781498868,34.0,34,,,,,0.5331756540080609,2.1395456878740284,0.26047129311811457,5368,,,,,,1995205,,,
2024-02-05,23,1391.2009416482529,950.095805323643,4.0,4,,,,,0.31460723788253503,1.2522863303490521,0.2790763650712515,2171,,,,,,1040792,,,
2024-02-06,27,1361.5402701067649,1212.9381166588807,4.0,4,,,,,0.39764472029030073,1.381713724306998,0.25116874693532476,2585,,,,,,413359,,,
2024-02-07,8,1341.9995064735413,377.60005643043246,,,,,,,0.28598709725503724,0.4396367983322315,0.25116874693532476,1067,,,,,,,,,
2024-02-08,10,1387.1349221817495,380.7111759042882,,,,,,,0.33050714490356137,0.7299496900767366,0.25116874693532476,1249,,,,,,954780,,,
2024-02-09,22,1341.9995064735413,976.7272204137613,5.0,5,,,,,0.41903466983840265,1.385790067831424,0.2501156214915807,1895,,,,,,,,,
2024-02-10,2,795.4160292085128,36.279930112880244,,,,,,,0.27907636130280083,0.27907636130280083,0.27907636130280083,103,,,,,,,,,
2024-02-12,,1341.9995064735415,,,,,,,,,,,,,,,,,,,,
2024-02-13,150,1341.9995064735415,7154.785541366325,46.0,46,,,,,0.5073251603791943,1.4570558661309236,0.25116874693532476,12311,,,,,,,,,
2024-02-14,67,1341.9995064735415,2477.173230317819,11.0,11,,,,,0.38065843642605723,1.4772363736491638,0.27907635690627525,4679,,,,,,,,,
2024-02-15,12,1341.999506473541,370.84401325016887,,,,,,,0.3489330214031517,1.0284580939730357,0.2790763584510005,998,,,,,,,,,
2024-02-16,6,1341.9995064735413,154.87666286604806,,,,,,,0.3861353619658849,0.879516636056047,0.25116874693532476,631,,,,,,,,,
2024-02-17,34,1341.9995064735413,1022.330740502439,,,,,,,0.519810314560196,1.1272770454322993,0.25116874693532476,2170,,,,,,,,,
2024-02-18,16,1341.9995064735413,460.491305385254,,,,,,,0.3354914681652104,0.7055262329779189,0.2697738393009044,1212,,,,,,,,,
2024-02-19,24,1341.9995064735413,1067.8573502907411,4.0,4,,,,,0.39186453024033974,1.2343506109148978,0.26047129311811457,2298,,,,,,,,,
2024-02-20,33,1341.9995064735417,1034.7300885644718,,,,,,,0.3990257138170715,0.8619742366675266,0.25116874693532476,2470,,,,,,,,,
2024-02-21,12,1341.9995064735408,382.5101679606951,,,,,,,0.47767298468864616,0.9139851532769289,0.25757548069521685,1095,,,,,,,,,
2024-02-22,73,1341.9995064735413,3319.926983811179,26.0,26,,,,,0.37969495829010125,1.2777167779248189,0.25116874693532476,6382,,,,,,,,,
2024-02-23,32,1341.9995064735415,1048.6849668856166,2.0,2,,,,,0.4682126586489172,1.1848198790461644,0.25116874693532476,2570,,,,,,,,,
2024-02-24,3,702.7038465883875,89.86259612574953,,,,,,,0.41016284708571854,0.5537211570443709,0.2491752886828946,234,,,,,,,,,
2024-02-26,,192.5920457073186,,,,,,,,,,,,,,,,,,,,
2024-02-27,,1341.9995064735413,,,,,,,,,,,,,,,,,,,,
2024-02-28,19,1387.3741338864238,1161.5000447828377,13.0,13,,,,,0.6473868095894011,1.3315342209530407,0.25116874693532476,2030,,,,,,959840,,,
2024-02-29,23,1351.6705911319648,739.6191598724114,,,,,,,0.29768984792083325,0.591988515885528,0.26047129311811457,1870,,,,,,204579,,,
2024-03-01,67,1438.895647357445,2941.4441846610803,14.0,14,,,,,0.39021027601782776,1.35794497444747,0.25116874693532476,5709,,,,,,1790483,113021,,
2024-03-02,3,1351.62081255183,123.492855539509,,,,,,,0.48900905728653593,0.825327918383674,0.2697738393009044,377,,,,,,203526,,,
2024-03-03,3,1344.8017143506806,180.8408035768197,,,,,,,0.26713841998694665,0.27907638216073816,0.25116874693532476,427,,,,,,59277,,,
2024-03-04,10,1345.9984330174454,427.4662850840515,,,,,,,0.2769233929237005,0.7734580861214801,0.25116874693532476,1267,,,,,,84592,,,
2024-03-05,18,1358.3104862518499,594.1401042812985,,,,,,,0.447502090450604,1.299710065967991,0.25116874693532476,1571,,,,,,345038,,,
2024-03-06,55,1480.3041529283075,2835.4949534329003,12.0,12,,,,,0.44911724087345506,1.5303083679245706,0.25116874693532476,5142,,,,,,2925651,,,
2024-03-07,25,1392.0608903428542,1161.8511757987926,2.0,2,,,,,0.33722718478210295,1.1701593753457709,0.25116874693532476,2405,,,,,,1058983,,,
2024-03-08,27,1408.8064532657197,1113.2293042648669,5.0,5,,,,,0.30935377016710935,1.2392465979816758,0.26047129311811457,2159,,,,,,1413212,,,
2024-03-09,76,1532.3400187384382,3677.361552785093,25.0,25,,,,,0.42625155829335976,1.6175040876955973,0.25116874693532476,6655,,,,,,4026402,,,
2024-03-10,15,1371.2617951688003,477.31491536925114,,,,,,,0.4107061706613482,1.0910980313337775,0.25116874693532476,1402,,,,,,619005,,,
2024-03-11,46,1418.159425472473,1876.4497554723148,6.0,6,,,,,0.35643857801383,1.2542127374178076,0.25116874693532476,3828,,,,,,1611064,,,
2024-03-12,36,1408.9321747557915,1000.2626308958675,13.0,13,,,,,0.38867428132456805,1.5670149461002083,0.2697738393009044,2214,,,,709809,,656429,,,
2024-03-13,41,1415.2188108968298,1934.3604288867427,6.0,6,,,,,0.47989017282629887,1.792770253152843,0.25116874693532476,3660,,,,,,1548857,,,
2024-03-14,63,1484.7391250990213,2734.7750692288364,15.0,15,,,,,0.399544466353112,1.4074644280980553,0.2697738393009044,5284,,,,,,3019468,,,
2024-03-15,51,1405.3402968290561,1924.4501572075808,4.0,4,,,,,0.4275793043935262,1.4936332361293925,0.26047129311811457,3740,,,,,,1339892,,,
2024-03-16,24,1374.808318273877,972.5176207401678,3.0,3,,,,,0.3840403755887747,1.1102894330904445,0.25116874693532476,2172,,,,,,694027,,,
2024-03-17,11,1352.8258512851694,412.67832111164256,,,,,,,0.3092398757901905,0.9550694253250998,0.2561278689432646,946,,,,,,229017,,,
