Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
19:15:00.000-03:00,19:30:00.000-03:00,4,23.36462208051217,113.38207255069969,,,,,,,0.4250120532255608,0.8419851369347816,0.25116874693532476,209,,,,198537
19:30:00.000-03:00,19:45:00.000-03:00,,13.979161525766056,,,,,,,,,,,15,,,,
19:45:00.000-03:00,20:00:00.000-03:00,15,49.87259055454416,602.5589794033539,,,,,,,0.7769457419062286,1.0637392177186284,0.35326119607951173,1067,,,,759278
20:00:00.000-03:00,20:15:00.000-03:00,1,16.50453809685906,23.97647882218737,,,,,,,0.45967915472541215,0.45967915472541215,0.45967915472541215,43,,,,53421
20:15:00.000-03:00,20:30:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
20:30:00.000-03:00,20:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
21:15:00.000-03:00,21:30:00.000-03:00,,13.979161525766054,,,,,,,,,,,8,,,,
21:30:00.000-03:00,21:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,9,,,,
21:45:00.000-03:00,22:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,21,,,,
22:00:00.000-03:00,22:15:00.000-03:00,12,43.87845531818672,592.5642944249861,4.0,4,,,,,0.8781611835404678,1.0735584603413724,0.2790763724939576,1008,,,,632480
22:15:00.000-03:00,22:30:00.000-03:00,1,15.215589601184666,23.638871291456464,,,,,,,0.8619627178420863,0.8619627178420863,0.8619627178420863,54,,,,26155
22:30:00.000-03:00,22:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
22:45:00.000-03:00,23:00:00.000-03:00,1,13.979161525766054,22.326110838695534,,,,,,,0.27969871511083083,0.27969871511083083,0.27969871511083083,40,,,,
23:00:00.000-03:00,23:15:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,13.979161525766054,,,,,,,,,,,6,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,25,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,19,,,,
